24-08-19 21:55:56:489 24-08-19 21:55:56 STATECHANGE ON_DECK_START DECENT
24-08-19 21:57:32:487 24-08-19 21:57:32 STATECHANGE DECENT AT_DEPTH
24-08-19 21:57:33:489 24-08-19 21:57:33 STATECHANGE AT_DEPTH AT_REST
24-08-19 21:57:34:486 24-08-19 21:57:34 STATECHANGE AT_REST IN_FOR_MEASURMENT
24-08-19 21:57:44:483 24-08-19 21:57:44 STATECHANGE IN_FOR_MEASURMENT DWELL_DONE
24-08-19 21:57:45:484 24-08-19 21:57:45 STATECHANGE DWELL_DONE HEATING
24-08-19 21:58:05:478 24-08-19 21:58:05 STATECHANGE HEATING DECAY
24-08-19 21:58:15:475 24-08-19 21:58:15 STATECHANGE DECAY POST_MEASURE
24-08-19 22:09:47:499 24-08-19 22:09:47 STATECHANGE POST_MEASURE OUT_ABOVE_RESET
24-08-19 22:14:07:501 24-08-19 22:14:07 STATECHANGE OUT_ABOVE_RESET AT_DEPTH
24-08-19 22:14:08:501 24-08-19 22:14:08 STATECHANGE AT_DEPTH AT_REST
24-08-19 22:14:09:501 24-08-19 22:14:09 STATECHANGE AT_REST IN_FOR_MEASURMENT
24-08-19 22:14:19:502 24-08-19 22:14:19 STATECHANGE IN_FOR_MEASURMENT DWELL_DONE
24-08-19 22:14:20:502 24-08-19 22:14:20 STATECHANGE DWELL_DONE HEATING
24-08-19 22:14:40:501 24-08-19 22:14:40 STATECHANGE HEATING DECAY
24-08-19 22:14:50:501 24-08-19 22:14:50 STATECHANGE DECAY POST_MEASURE
24-08-19 22:26:48:495 24-08-19 22:26:48 STATECHANGE POST_MEASURE OUT_ABOVE_RESET
24-08-19 22:31:38:493 24-08-19 22:31:38 STATECHANGE OUT_ABOVE_RESET AT_DEPTH
24-08-19 22:31:39:493 24-08-19 22:31:39 STATECHANGE AT_DEPTH AT_REST
24-08-19 22:31:40:497 24-08-19 22:31:40 STATECHANGE AT_REST IN_FOR_MEASURMENT
24-08-19 22:31:50:493 24-08-19 22:31:50 STATECHANGE IN_FOR_MEASURMENT DWELL_DONE
24-08-19 22:31:51:496 24-08-19 22:31:51 STATECHANGE DWELL_DONE HEATING
24-08-19 22:32:11:492 24-08-19 22:32:11 STATECHANGE HEATING DECAY
24-08-19 22:32:21:492 24-08-19 22:32:21 STATECHANGE DECAY POST_MEASURE
24-08-19 22:43:23:494 24-08-19 22:43:23 STATECHANGE POST_MEASURE OUT_ABOVE_RESET
24-08-19 22:47:48:492 24-08-19 22:47:48 STATECHANGE OUT_ABOVE_RESET AT_DEPTH
24-08-19 22:47:49:493 24-08-19 22:47:49 STATECHANGE AT_DEPTH AT_REST
24-08-19 22:47:50:495 24-08-19 22:47:50 STATECHANGE AT_REST IN_FOR_MEASURMENT
24-08-19 22:48:00:492 24-08-19 22:48:00 STATECHANGE IN_FOR_MEASURMENT DWELL_DONE
24-08-19 22:48:01:495 24-08-19 22:48:01 STATECHANGE DWELL_DONE HEATING
24-08-19 22:48:21:492 24-08-19 22:48:21 STATECHANGE HEATING DECAY
24-08-19 22:48:31:492 24-08-19 22:48:31 STATECHANGE DECAY POST_MEASURE
24-08-19 23:00:03:492 24-08-19 23:00:03 STATECHANGE POST_MEASURE OUT_ABOVE_RESET
24-08-19 23:04:28:498 24-08-19 23:04:28 STATECHANGE OUT_ABOVE_RESET AT_DEPTH
24-08-19 23:04:29:499 24-08-19 23:04:29 STATECHANGE AT_DEPTH AT_REST
24-08-19 23:04:30:498 24-08-19 23:04:30 STATECHANGE AT_REST IN_FOR_MEASURMENT
24-08-19 23:04:40:503 24-08-19 23:04:40 STATECHANGE IN_FOR_MEASURMENT DWELL_DONE
24-08-19 23:04:41:500 24-08-19 23:04:41 STATECHANGE DWELL_DONE HEATING
24-08-19 23:05:01:499 24-08-19 23:05:01 STATECHANGE HEATING DECAY
24-08-19 23:05:11:500 24-08-19 23:05:11 STATECHANGE DECAY POST_MEASURE
24-08-19 23:16:48:497 24-08-19 23:16:48 STATECHANGE POST_MEASURE OUT_ABOVE_RESET
24-08-19 23:21:23:498 24-08-19 23:21:23 STATECHANGE OUT_ABOVE_RESET AT_DEPTH
24-08-19 23:21:24:498 24-08-19 23:21:24 STATECHANGE AT_DEPTH AT_REST
24-08-19 23:21:25:498 24-08-19 23:21:25 STATECHANGE AT_REST IN_FOR_MEASURMENT
24-08-19 23:21:35:498 24-08-19 23:21:35 STATECHANGE IN_FOR_MEASURMENT DWELL_DONE
24-08-19 23:21:36:501 24-08-19 23:21:36 STATECHANGE DWELL_DONE HEATING
24-08-19 23:21:56:498 24-08-19 23:21:56 STATECHANGE HEATING DECAY
24-08-19 23:22:06:497 24-08-19 23:22:06 STATECHANGE DECAY POST_MEASURE
24-08-19 23:33:03:496 24-08-19 23:33:03 STATECHANGE POST_MEASURE OUT_ABOVE_RESET
24-08-19 23:37:33:498 24-08-19 23:37:33 STATECHANGE OUT_ABOVE_RESET AT_DEPTH
24-08-19 23:37:34:498 24-08-19 23:37:34 STATECHANGE AT_DEPTH AT_REST
24-08-19 23:37:35:498 24-08-19 23:37:35 STATECHANGE AT_REST IN_FOR_MEASURMENT
24-08-19 23:37:45:498 24-08-19 23:37:45 STATECHANGE IN_FOR_MEASURMENT DWELL_DONE
24-08-19 23:37:46:500 24-08-19 23:37:46 STATECHANGE DWELL_DONE HEATING
24-08-19 23:38:06:500 24-08-19 23:38:06 STATECHANGE HEATING DECAY
24-08-19 23:38:16:499 24-08-19 23:38:16 STATECHANGE DECAY POST_MEASURE
24-08-19 23:49:48:498 24-08-19 23:49:48 STATECHANGE POST_MEASURE OUT_ABOVE_RESET
24-08-19 23:54:03:499 24-08-19 23:54:03 STATECHANGE OUT_ABOVE_RESET AT_DEPTH
24-08-19 23:54:04:499 24-08-19 23:54:04 STATECHANGE AT_DEPTH AT_REST
24-08-19 23:54:05:500 24-08-19 23:54:05 STATECHANGE AT_REST IN_FOR_MEASURMENT
24-08-19 23:54:15:499 24-08-19 23:54:15 STATECHANGE IN_FOR_MEASURMENT DWELL_DONE
24-08-19 23:54:16:500 24-08-19 23:54:16 STATECHANGE DWELL_DONE HEATING
24-08-19 23:54:36:499 24-08-19 23:54:36 STATECHANGE HEATING DECAY
24-08-19 23:54:46:499 24-08-19 23:54:46 STATECHANGE DECAY POST_MEASURE
24-08-20 00:06:43:496 24-08-20 00:06:43 STATECHANGE POST_MEASURE OUT_ABOVE_RESET
24-08-20 00:11:28:495 24-08-20 00:11:28 STATECHANGE OUT_ABOVE_RESET AT_DEPTH
24-08-20 00:11:29:499 24-08-20 00:11:29 STATECHANGE AT_DEPTH AT_REST
24-08-20 00:11:30:495 24-08-20 00:11:30 STATECHANGE AT_REST IN_FOR_MEASURMENT
24-08-20 00:11:40:495 24-08-20 00:11:40 STATECHANGE IN_FOR_MEASURMENT DWELL_DONE
24-08-20 00:11:41:503 24-08-20 00:11:41 STATECHANGE DWELL_DONE HEATING
24-08-20 00:12:01:495 24-08-20 00:12:01 STATECHANGE HEATING DECAY
24-08-20 00:12:11:496 24-08-20 00:12:11 STATECHANGE DECAY POST_MEASURE
24-08-20 00:24:03:494 24-08-20 00:24:03 STATECHANGE POST_MEASURE OUT_ABOVE_RESET
24-08-20 00:28:43:496 24-08-20 00:28:43 STATECHANGE OUT_ABOVE_RESET AT_DEPTH
24-08-20 00:28:44:497 24-08-20 00:28:44 STATECHANGE AT_DEPTH AT_REST
24-08-20 00:28:45:496 24-08-20 00:28:45 STATECHANGE AT_REST IN_FOR_MEASURMENT
24-08-20 00:28:55:496 24-08-20 00:28:55 STATECHANGE IN_FOR_MEASURMENT DWELL_DONE
24-08-20 00:28:56:503 24-08-20 00:28:56 STATECHANGE DWELL_DONE HEATING
24-08-20 00:29:16:496 24-08-20 00:29:16 STATECHANGE HEATING DECAY
24-08-20 00:29:26:496 24-08-20 00:29:26 STATECHANGE DECAY POST_MEASURE
24-08-20 00:40:18:495 24-08-20 00:40:18 STATECHANGE POST_MEASURE OUT_ABOVE_RESET
24-08-20 00:44:43:495 24-08-20 00:44:43 STATECHANGE OUT_ABOVE_RESET AT_DEPTH
24-08-20 00:44:44:495 24-08-20 00:44:44 STATECHANGE AT_DEPTH AT_REST
24-08-20 00:44:45:495 24-08-20 00:44:45 STATECHANGE AT_REST IN_FOR_MEASURMENT
24-08-20 00:44:55:495 24-08-20 00:44:55 STATECHANGE IN_FOR_MEASURMENT DWELL_DONE
24-08-20 00:44:56:496 24-08-20 00:44:56 STATECHANGE DWELL_DONE HEATING
24-08-20 00:45:16:495 24-08-20 00:45:16 STATECHANGE HEATING DECAY
24-08-20 00:45:26:496 24-08-20 00:45:26 STATECHANGE DECAY POST_MEASURE
24-08-20 00:57:03:496 24-08-20 00:57:03 STATECHANGE POST_MEASURE OUT_ABOVE_RESET
24-08-20 01:02:08:495 24-08-20 01:02:08 STATECHANGE OUT_ABOVE_RESET AT_DEPTH
